artist,song,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,origin,cluster
Mike Candys feat. Evelyn & Carlprit,Brand New Day - Radio Mix,0BUI6QztiVlo6GK32zYW5K,0.6459999999999999,0.892,6,-2.681,0,0.0695,0.0362,0.0,0.17600000000000002,0.513,127.962,167143,4,0.0,3
DJ Antoine,House Party - Radio Edit,73htmdTpGdBPAhHdpEblRU,0.6990000000000001,0.915,10,-3.3819999999999997,0,0.0565,0.0704,0.0,0.16899999999999998,0.775,127.96799999999999,206787,4,0.0,3
Kay One,V.I.P. (feat. The Product G&B),5iZVTYv8j4nyaNwlzf0T7H,0.888,0.667,0,-6.374,1,0.124,0.0569,0.0,0.11900000000000001,0.745,110.042,264284,4,0.0,1
Laurent Wery,Hey Hey Hey (Pop Another Bottle) (feat. Swift K.I.D & Dev),6ZqZKF6iyaVOFwjk5ILoyq,0.843,0.8340000000000001,5,-5.4270000000000005,0,0.11900000000000001,0.0624,0.0,0.897,0.9690000000000001,128.025,185649,4,0.0,0
R.I.O.,Living in Stereo - Video Edit,4cdibe2Gw6OipksnOAZyQF,0.6970000000000001,0.8690000000000001,0,-5.155,0,0.162,0.13,0.0,0.306,0.7090000000000001,127.915,190485,4,0.0,3
Tyga,Rack City,21nFIDqoD1L7ELsprVSzOR,0.929,0.33899999999999997,1,-10.880999999999998,1,0.371,0.0373,1.9600000000000002e-05,0.187,0.273,98.986,203200,4,0.0,6
Tacabro,Tacatà - Radio Edit,62pIfDe2RdhUfYmRWdo9ZJ,0.812,0.857,4,-6.034,1,0.10300000000000001,0.0083,0.0,0.354,0.6509999999999999,126.95100000000001,210000,4,0.0,1
Jack Holiday,The Riddle Anthem - Radio Edit,1UjgPHpST8aSMvZrMWAH3r,0.653,0.789,6,-5.026,0,0.0312,0.0137,3.09e-05,0.374,0.593,127.01299999999999,171533,4,0.0,3
Manian,Don't Stop the Dancing - Video Edit,0q1KvQDZEN2JmmmYWXOhtM,0.624,0.951,4,-4.374,1,0.18100000000000002,0.0199,0.0,0.17,0.595,127.93799999999999,184613,4,0.0,1
DJ Antoine,Meet Me in Paris - Radio Edit,7ggU8237ZuzJxy4aVBGnmG,0.7290000000000001,0.732,10,-4.303,1,0.0517,0.0106,0.0,0.0951,0.547,127.914,200920,4,0.0,1
Die Atzen Frauenarzt,Disco Pogo - Atzen Musik Mix,3O6xjfDP08rqcfqMD7lnEg,0.654,0.7709999999999999,11,-4.843999999999999,0,0.0928,0.00898,0.0,0.0966,0.28600000000000003,131.876,204115,4,0.0,3
Usher,More - RedOne Jimmy Joker Remix,0aBKFfdyOD1Ttvgv0cfjjJ,0.551,0.893,7,-2.628,1,0.0543,0.0016600000000000002,0.0,0.348,0.794,125.083,219987,4,0.0,1
R.I.O.,Turn This Club Around (feat. U-Jean) - Video Edit,4CPygBmg8tShp6vHxf9ntz,0.61,0.843,0,-4.894,1,0.0296,0.000118,0.000392,0.373,0.9159999999999999,127.98100000000001,201459,4,0.0,1
Laing,Morgens immer müde - Single Version,2ta32gI6EPiCgnrOXnslOm,0.93,0.584,6,-8.687999999999999,1,0.0443,0.0197,0.00227,0.102,0.9229999999999999,130.024,203240,4,0.0,1
Remady,Higher Ground - Flamemakers Radio Edit,3TD21S7DgPAsQFsdAOE8zP,0.573,0.8170000000000001,2,-5.51,1,0.0534,0.0199,0.0,0.69,0.503,128.023,178321,4,0.0,0
DJane HouseKat,My Party (Radio Version),2UT8Re2t44hoUYCKJcOdqn,0.732,0.772,5,-5.779,0,0.24100000000000002,0.0209,0.0015199999999999999,0.878,0.573,128.03799999999998,180000,4,0.0,0
Rico Bernasconi,Ebony Eyes (feat. A-Class & Sean Paul) - Original Edit,7g9UjIFjs7KihId4XgIWQI,0.693,0.9209999999999999,1,-3.457,0,0.191,0.136,0.0,0.591,0.6509999999999999,122.134,196617,4,0.0,0
Tungevaag,Wicked Wonderland,0zQXwzM2gtGfClqBBTsKXp,0.6990000000000001,0.812,6,-5.772,0,0.135,0.00461,0.0161,0.397,0.7490000000000001,127.916,217270,4,0.0,3
Fun[k]House,Freed From Desire - Radio Edit,3V3BtIfN5FwhnnaV5a6xAu,0.672,0.899,0,-4.197,1,0.0473,0.00321,1.9600000000000002e-05,0.34,0.488,127.96700000000001,183089,4,0.0,1
ItaloBrothers,Boom (feat. Carlprit) - Video Edit,0dZ5AOJd3E9SUrPeKYeMbK,0.557,0.77,11,-7.084,0,0.0397,0.0262,4.08e-06,0.11900000000000001,0.342,149.964,191170,4,0.0,3
R.I.O.,Animal (feat. U-Jean) - Video Edit,79MkbP0nYwH5LG9fzwuCjZ,0.62,0.865,0,-4.697,0,0.0412,0.009290000000000001,0.0,0.45299999999999996,0.555,128.037,212467,4,0.0,0
Mike Candys,Bring Back The Love - Radio Edit,3nay4trOaT3jnPCreU5BIO,0.606,0.816,5,-3.787,1,0.0616,0.0109,5.7999999999999994e-05,0.223,0.47600000000000003,127.98200000000001,196293,4,0.0,1
Angus & Julia Stone,Big Jet Plane,2fbXJ0VpxhW7j0qcg1DnoZ,0.7659999999999999,0.376,10,-8.622,0,0.0267,0.252,0.00861,0.0908,0.257,109.944,239120,4,0.0,3
MGMT,Electric Feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.8029999999999999,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,229640,3,0.0,1
Britney Spears,I Wanna Go,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,210267,4,0.0,1
Lady Gaga,Boys Boys Boys,33CB8obztQNidFDbO6Z1Wl,0.725,0.662,9,-5.0680000000000005,1,0.0404,0.0144,0.0,0.0996,0.8140000000000001,122.98899999999999,200813,4,0.0,1
